timestep,importance,hour_before
1,0.0983759209887516,72
2,0.289751303658585,71
3,0.518390653288579,70
4,0.2684342905508,69
5,0.249050319264571,68
6,0.167955496559845,67
7,0.263179039050644,66
8,0.165967177846459,65
9,0.079790878249364,64
10,0.183284221874734,63
11,0.0643456272800793,62
12,0.0508575889158351,61
13,0.28123126765517,60
14,0.192264944068,59
15,0.185658877690363,58
16,0.0505243562412413,57
17,0.505460996688505,56
18,0.00236050961903346,55
19,0.0318806873703345,54
20,0.14954229274783,53
21,0.101682307462801,52
22,0.00552132586261406,51
23,0.30131604880364,50
24,0.0211041200486594,49
25,0.0509707302302206,48
26,0.173771788227015,47
27,0.0253581137046031,46
28,0.101966998699725,45
29,0.152039951525931,44
30,0.379958758363038,43
31,0.0993926443423263,42
32,0.0712542427472863,41
33,0.217303959654819,40
34,0.16762638310057,39
35,0.122668837738255,38
36,0.056826687828535,37
37,0.0897344364079957,36
38,0.015674470486229,35
39,0.0911135716933035,34
40,0.09256555664825,33
41,0.059745570508145,32
42,0.143089105934631,31
43,0.0174186381481125,30
44,0.118093367175354,29
45,0.0252533943916399,28
46,0.361843980646715,27
47,0.146525941793768,26
48,0.12775804508247,25
49,0.206692091931515,24
50,0.129995635564459,23
51,0.112064424125214,22
52,0.0125611374020636,21
53,0.106100374023132,20
54,0.0507545164894106,19
55,0.149953666402718,18
56,0.000385573400482149,17
57,0.0123477303263816,16
58,0.14933767306629,15
59,0.116075128029556,14
60,0.225163298072679,13
61,0.0331792483363923,12
62,0.0419381891268443,11
63,0.117477217820517,10
64,0.165143923404328,9
65,0.0646320422270291,8
66,0.0432882319054153,7
67,0.0813277836754314,6
68,0.11404169513752,5
69,0.220277008275067,4
70,0.0407026403662272,3
71,0.055562844136187,2
72,0.0125077386403116,1
