Feature,Gain,Cover,Frequency,original_feature,lag_hour
feature_1_lag0,0.840059465051936,0.0563448753657128,0.0384903961584634,feature_1,0
feature_12_lag0,0.0703639353650251,0.00896499139251869,0.0141056422569028,feature_12,0
feature_1_lag1,0.03551149303328,0.0110697705905394,0.0107543017206883,feature_1,1
feature_21_lag0,0.0136581286829571,0.000705337782847053,0.000350140056022409,feature_21,0
feature_7_lag0,0.00713739886761021,0.0197196039859192,0.0365146058423369,feature_7,0
feature_1_lag2,0.00513638573576034,0.00370357357053538,0.00725290116046419,feature_1,2
feature_7_lag1,0.00221126096078661,0.00815184912455438,0.00955382152861145,feature_7,1
feature_6_lag0,0.00218450519098594,0.0269337247702052,0.0245098039215686,feature_6,0
feature_5_lag0,0.00206031511912731,0.00639755965554339,0.0077781112444978,feature_5,0
feature_13_lag0,0.00109811442886693,0.0266561873809846,0.00707783113245298,feature_13,0
feature_4_lag0,0.0010635083112959,0.0221275567732545,0.0190326130452181,feature_4,0
feature_7_lag3,0.00101373950930345,0.0328830680986967,0.0280362144857943,feature_7,3
feature_4_lag1,0.000996131780611566,0.0105894771504283,0.0123299319727891,feature_4,1
feature_4_lag2,0.000960247507744676,0.00542390831232417,0.00657763105242097,feature_4,2
feature_8_lag0,0.000668571630959031,0.00466781844783928,0.00597739095638255,feature_8,0
feature_17_lag0,0.000430316914968553,0.0305767508682103,0.0131052420968387,feature_17,0
feature_6_lag1,0.00035068896639479,0.010766038578538,0.00535214085634254,feature_6,1
feature_7_lag2,0.000233150960739631,0.0220368045460852,0.00997899159663865,feature_7,2
feature_6_lag3,0.000209605764463037,0.0186499656955688,0.00917867146858744,feature_6,3
feature_22_lag0,0.00019806430995702,0.000131425107796372,0.00125050020008003,feature_22,0
