original_feature,avg_gain,avg_frequency,n_models
feature_1,0.291851495543905,0.0284106271870963,7
feature_21,0.047796997806019,0.000529002214604254,3
feature_12,0.0446616283486292,0.0181662917874732,3
feature_7,0.00245795198122373,0.0315694192839591,9
feature_5,0.00224033901720234,0.0118879230392518,3
feature_6,0.00112256543852143,0.0234573296827756,5
feature_8,0.00110820922812256,0.00730666815462647,3
feature_4,0.00106860231409621,0.0198199767271529,7
feature_13,0.000803380666292677,0.00516700362455452,3
feature_17,0.000331213755533463,0.0165689019290026,3
feature_22,0.000291504306479902,0.00112075516127028,3
feature_104,0.000262642920590888,0.00499044383096199,3
"",,,18
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
