model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,lstm,separate,norm_Nomorlization_竹山_U2HA50_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,0.0610554317984543,0.07
lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,lstm,separate,norm_Nomorlization_斗六_C0K400_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,0.0614369287866485,0.07
lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,lstm,separate,norm_Nomorlization_埔里_C0H890_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,0.0653359858523571,0.07
lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows,lstm,separate,norm_Nomorlization_南投_C0I460_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows,0.0657595085093905,0.07
lstm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,lstm,separate,norm_Nomorlization_仁武_C0V680_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_仁武_C0V680_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,0.0722606713108728,0.07
lstm_separate_norm_Nomorlization_美濃_72V140_combined_windows,lstm,separate,norm_Nomorlization_美濃_72V140_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_美濃_72V140_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_美濃_72V140_combined_windows,0.0730767559966676,0.07
lstm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,lstm,separate,norm_Nomorlization_朴子_C0M650_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_朴子_C0M650_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,0.0733580436772194,0.07
lstm_separate_norm_Nomorlization_安南_467420_combined_windows,lstm,separate,norm_Nomorlization_安南_467420_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_安南_467420_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_安南_467420_combined_windows,0.0740030082421259,0.07
lstm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,lstm,separate,norm_Nomorlization_屏東_C0R570_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_屏東_C0R570_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,0.0745208126669899,0.07
lstm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,lstm,separate,norm_Nomorlization_大里_C0F9N0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,0.0767273278942839,0.07
